timestamp,config_min_core,config_max_core,config_max_queue,current_core,current_max,active_threads,queue_size,queue_capacity,queue_utilization,idle_ratio
2025-04-26T20:03:10.2777326,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:03:15.2885109,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:03:20.308786,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:03:25.3245155,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:03:30.3335373,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:03:35.3501823,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:03:40.3620699,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:03:45.372455,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:03:50.390212,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:03:55.406167,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:00.4127248,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:05.4222595,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:10.4376454,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:15.4474992,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:20.4537503,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:25.4725939,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:30.4791427,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:35.494109,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:40.5025521,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:45.5217556,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:50.5304527,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:04:55.5525857,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:00.5709071,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:05.5889509,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:10.5992884,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:15.6123735,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:20.6197159,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:25.6304707,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:30.6449456,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:35.6622993,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:40.6716189,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:45.6816122,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:50.691366,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:05:55.7000592,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:00.7115879,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:05.7200783,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:10.7324845,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:15.7496519,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:20.7585791,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:25.7700048,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:30.7871091,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:35.7988138,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:40.8049464,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:45.808838,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:50.8242604,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:06:55.8329474,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:00.8445837,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:05.8552747,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:10.8588887,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:15.8770177,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:20.8863842,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:25.8897036,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:30.8959793,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:35.8997576,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:40.9033001,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:45.9118861,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:50.9245913,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:07:55.9398968,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:08:00.9489589,2,16,200,4,16,0,0,100,0.0000,0.0000
2025-04-26T20:08:05.9529748,2,16,200,4,16,0,0,100,0.0000,0.0000
